username, password,displayName,firstName,middleName,lastName,gender,birthdate,email,phoneNumber,phoneCode,languageCode,postalCode, avatarFileId,pdpa,receiveSMS,receiveEmail,receiveDirectMail,posCustomerId,extraPhoneNumber,region
osimtest001@hotmail.com,Osimtest1@,osimtest001@hotmail.com,Mickey1,mn1,Osim1,Female,1972/9/17,osimtest001@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest002@hotmail.com,Osimtest1@,osimtest002@hotmail.com,Mickey2,mn2,Osim2,Male,1972/9/18,osimtest002@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest003@hotmail.com,Osimtest1@,osimtest003@hotmail.com,Mickey3,mn3,Osim3,Female,1972/9/19,osimtest003@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest004@hotmail.com,Osimtest1@,osimtest004@hotmail.com,Mickey4,mn4,Osim4,Male,1972/9/20,osimtest004@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest005@hotmail.com,Osimtest1@,osimtest005@hotmail.com,Mickey5,mn5,Osim5,Female,1972/9/21,osimtest005@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest006@hotmail.com,Osimtest1@,osimtest006@hotmail.com,Mickey6,mn6,Osim6,Male,1972/9/22,osimtest006@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest007@hotmail.com,Osimtest1@,osimtest007@hotmail.com,Mickey7,mn7,Osim7,Female,1972/9/23,osimtest007@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest008@hotmail.com,Osimtest1@,osimtest008@hotmail.com,Mickey8,mn8,Osim8,Male,1972/9/24,osimtest008@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest009@hotmail.com,Osimtest1@,osimtest009@hotmail.com,Mickey9,mn9,Osim9,Female,1972/9/25,osimtest009@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
osimtest010@hotmail.com,Osimtest1@,osimtest010@hotmail.com,Mickey10,mn10,Osim10,Male,1972/9/26,osimtest010@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
osimtest011@hotmail.com,Osimtest1@,osimtest011@hotmail.com,Mickey11,mn11,Osim11,Female,1972/9/17,osimtest011@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest012@hotmail.com,Osimtest1@,osimtest012@hotmail.com,Mickey12,mn12,Osim12,Male,1972/9/18,osimtest012@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest013@hotmail.com,Osimtest1@,osimtest013@hotmail.com,Mickey13,mn13,Osim13,Female,1972/9/19,osimtest013@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest014@hotmail.com,Osimtest1@,osimtest014@hotmail.com,Mickey14,mn14,Osim14,Male,1972/9/20,osimtest014@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest015@hotmail.com,Osimtest1@,osimtest015@hotmail.com,Mickey15,mn15,Osim15,Female,1972/9/21,osimtest015@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest016@hotmail.com,Osimtest1@,osimtest016@hotmail.com,Mickey16,mn16,Osim16,Male,1972/9/22,osimtest016@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest017@hotmail.com,Osimtest1@,osimtest017@hotmail.com,Mickey17,mn17,Osim17,Female,1972/9/23,osimtest017@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest018@hotmail.com,Osimtest1@,osimtest018@hotmail.com,Mickey18,mn18,Osim18,Male,1972/9/24,osimtest018@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest019@hotmail.com,Osimtest1@,osimtest019@hotmail.com,Mickey19,mn19,Osim19,Female,1972/9/25,osimtest019@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
osimtest020@hotmail.com,Osimtest1@,osimtest020@hotmail.com,Mickey20,mn20,Osim20,Male,1972/9/26,osimtest020@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
osimtest021@hotmail.com,Osimtest1@,osimtest021@hotmail.com,Mickey21,mn21,Osim21,Female,1972/9/17,osimtest021@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest022@hotmail.com,Osimtest1@,osimtest022@hotmail.com,Mickey22,mn22,Osim22,Male,1972/9/18,osimtest022@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest023@hotmail.com,Osimtest1@,osimtest023@hotmail.com,Mickey23,mn23,Osim23,Female,1972/9/19,osimtest023@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest024@hotmail.com,Osimtest1@,osimtest024@hotmail.com,Mickey24,mn24,Osim24,Male,1972/9/20,osimtest024@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest025@hotmail.com,Osimtest1@,osimtest025@hotmail.com,Mickey25,mn25,Osim25,Female,1972/9/21,osimtest025@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest026@hotmail.com,Osimtest1@,osimtest026@hotmail.com,Mickey26,mn26,Osim26,Male,1972/9/22,osimtest026@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest027@hotmail.com,Osimtest1@,osimtest027@hotmail.com,Mickey27,mn27,Osim27,Female,1972/9/23,osimtest027@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest028@hotmail.com,Osimtest1@,osimtest028@hotmail.com,Mickey28,mn28,Osim28,Male,1972/9/24,osimtest028@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest029@hotmail.com,Osimtest1@,osimtest029@hotmail.com,Mickey29,mn29,Osim29,Female,1972/9/25,osimtest029@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
